journal,2024.0,2025.0,2026.0
3 Biotech,,0.0947,
AAPS PharmSciTech,,0.0396,
ACG case reports journal,,0.1385,
ACR open rheumatology,,0.2375,
ACS applied bio materials,,0.18340555555555554,
ACS applied materials & interfaces,,0.17433958333333333,
ACS applied nano materials,0.2325,,
ACS biomaterials science & engineering,,0.13673333333333335,
ACS chemical biology,,0.0199,
ACS measurement science au,,0.2,
ACS medicinal chemistry letters,,0.0167,
ACS nano,,0.17186666666666667,
ACS omega,,0.14176666666666668,
ACS pharmacology & translational science,,0.0667,
AIDS and behavior,,0.1753,
AME case reports,,0.16425,
APL bioengineering,,0.1157,
"APMIS : acta pathologica, microbiologica, et immunologica Scandinavica",,0.0723,
Abdominal radiology (New York),,0.0909,
Academic radiology,,0.15025,
Accounts of chemical research,,0.1221,
Acta biochimica et biophysica Sinica,,0.09955,
Acta biomaterialia,,0.167564,
Acta dermato-venereologica,,-0.0205,
"Acta endocrinologica (Bucharest, Romania : 2005)",0.1292,,
Acta haematologica,,0.16655,
Acta histochemica et cytochemica,,0.0818,
Acta medica portuguesa,,0.114,
Acta naturae,0.2781,,
Acta neuropathologica communications,,0.141375,
"Acta oncologica (Stockholm, Sweden)",,0.10216,
Acta otorhinolaryngologica Italica : organo ufficiale della Societa italiana di otorinolaringologia e chirurgia cervico-facciale,,0.0438,
Acta pharmaceutica Sinica. B,,0.2194470588235294,
Acta pharmacologica Sinica,,0.10564285714285715,
Acta tropica,,0.0273,
Actas urologicas espanolas,,0.062099999999999995,
Acute medicine & surgery,,0.0644,
Advanced biology,,0.1687,
Advanced biomedical research,,0.1538,
Advanced biotechnology,0.1294,,
Advanced drug delivery reviews,,0.08143333333333333,
Advanced functional materials,,0.1286,
Advanced healthcare materials,,0.14013529411764705,
"Advanced materials (Deerfield Beach, Fla.)",,0.15312857142857142,
"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",,0.141351724137931,
Advances in biological regulation,,0.0611,
Advances in cancer research,,0.20579999999999998,
Advances in experimental medicine and biology,,0.12695,
Advances in immunology,,0.15764999999999998,
Advances in kidney disease and health,,0.1,
Advances in protein chemistry and structural biology,,0.047040000000000005,
Advances in radiation oncology,,0.16243333333333335,
Advances in therapy,,0.14525,
Ageing research reviews,,0.08122,
Aging and disease,,0.08107500000000001,
Aging cell,,0.0187,
Aging medicine (Milton (N.S.W)),,0.0869,
Aktuelle Urologie,,0.0778,
Alimentary pharmacology & therapeutics,,0.0346,
Allergy,,0.0616,
Alzheimer's & dementia : the journal of the Alzheimer's Association,,0.0044,
American Society of Clinical Oncology educational book. American Society of Clinical Oncology. Annual Meeting,,0.08615882352941177,
American journal of cancer research,,0.13555454545454546,
American journal of clinical dermatology,,0.1336,
American journal of clinical oncology,,0.12938571428571427,
American journal of clinical pathology,,0.04095,
American journal of hematology,,0.12508333333333332,
American journal of human genetics,,0.0472,
American journal of men's health,,0.13624999999999998,
American journal of nephrology,,0.2167,
American journal of otolaryngology,,0.0374,
American journal of physiology. Cell physiology,,0.13724999999999998,
American journal of physiology. Heart and circulatory physiology,,0.0705,
"American journal of reproductive immunology (New York, N.Y. : 1989)",,0.10085,
American journal of translational research,,0.13036666666666666,
Amino acids,,0.1172,
Anais brasileiros de dermatologia,,0.0947,
Analytica chimica acta,,0.1859,
Analytical cellular pathology (Amsterdam),,0.1805,
Analytical chemistry,,0.15705,
"Anasthesiologie, Intensivmedizin, Notfallmedizin, Schmerztherapie : AINS",,0.2042,
Angewandte Chemie (International ed. in English),,0.15504347826086956,
Animal cells and systems,,0.1526,
Animals : an open access journal from MDPI,,0.10563333333333334,
Annales d'endocrinologie,,0.0894,
Annales de biologie clinique,,0.1182,
Annales de dermatologie et de venereologie,,0.0076,
Annales de pathologie,,0.0625,
Annals of behavioral medicine : a publication of the Society of Behavioral Medicine,,0.0835,
Annals of clinical and laboratory science,,0.1207,
Annals of clinical and translational neurology,,0.1644,
Annals of gastroenterological surgery,,0.1387,
Annals of gastroenterology,,0.04686666666666667,
Annals of hematology,,0.08125,
Annals of hepatology,,0.09204999999999999,
Annals of internal medicine,,-0.0036,
Annals of medicine,,0.1228,
Annals of medicine and surgery (2012),,0.10601428571428571,
Annals of neurology,,0.0303,
